Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
73,77.97756304749493,True,Infrastructure investment,Infrastructure investment,0.8130243499137151,True,0.07760961257652574,0.17357472767330506,0.060487974386047694,0.0375709419584873,3.4113396987219966
74,61.396992006327146,True,Social protection policy,Infrastructure investment,0.8468450123714587,True,0.012415364819726502,0.018399173089501675,0.01062015876073047,0.01443444501881061,2.7523128525916625
75,61.60330284005772,True,Social protection policy,Social protection policy,0.8608765787740301,True,0.048100246297614876,0.11805287183976593,0.04219040815810715,0.008107582043778983,2.342593473021092
76,101.527511252966,True,Social protection policy,Social protection policy,0.8651258311621699,True,0.0740104822125789,0.19858843243469837,0.04212221008743655,0.01832604522189122,2.840713297442634
77,60.071456865712136,True,Social protection policy,Social protection policy,0.8288978683578537,True,0.029427744515746566,0.07040528306460642,0.016177036190165084,0.016414786550341474,2.49949700143124
78,85.37999496217557,True,Social protection policy,Infrastructure investment,0.8366527369009599,True,0.042202985374213915,0.08960900898088525,0.02488232724233741,0.033219112586526045,3.1355443793203714
79,88.78572929424175,True,Social protection policy,Infrastructure investment,0.8211423806299757,True,0.0069145012191067345,0.020557156452930547,0.0,0.0036435978139430225,3.6537789247116175
80,80.52503181083273,True,Infrastructure investment,Infrastructure investment,0.8795687506070538,True,0.08781273582569045,0.13703196539110907,0.1383945791649287,0.031918030833878785,2.132134898779717
81,87.65316799549238,True,Social protection policy,Social protection policy,0.8240271730059919,True,0.049817388419752216,0.10165171063347417,0.020193893906183646,0.05251525492947495,2.7179775186059763
82,137.75193059354464,True,Infrastructure investment,Infrastructure investment,0.7649039482905211,True,0.040360606155597896,0.04052990554054381,0.09493394858710524,0.005798267416943587,6.246512665381506
83,100.111960198115,True,Social protection policy,Social protection policy,0.8278929688977337,True,0.06142924441663581,0.1628950531871941,0.04941208322985213,0.0026952190411790727,3.8284114855789353
84,84.95170326482027,True,Social protection policy,Infrastructure investment,0.9052238399544806,True,0.02627082288054878,0.06329149358021469,0.008206459150915668,0.02044992735079037,1.7914842535087196
85,81.74485207789779,True,Social protection policy,Social protection policy,0.8333226283920075,True,0.11649500702406713,0.24787460448551868,0.15286311905998207,0.006994801038734254,3.326171562278156
86,90.022222396962,True,Social protection policy,Infrastructure investment,0.8370070779583655,True,0.03513175388898687,0.08546007112941467,0.033301888683107905,0.004199178798931474,3.128730063172625
87,73.97016112853062,True,Social protection policy,Social protection policy,0.8874970048591101,True,0.06205186839695898,0.14979877909436623,0.03414615812860772,0.033236602166382495,1.6328800431956356
88,112.19450143820296,True,Infrastructure investment,Infrastructure investment,0.8119054335897476,True,0.014649748751179052,0.034368010482205724,0.0004559061329968972,0.01645020401392406,3.9922347219742025
89,126.16270945165289,True,Social protection policy,Social protection policy,0.8034437390955447,True,0.06590239150783805,0.12803925889689477,0.09664660957885651,0.005972501801681893,4.042617834264217
90,99.5812322573577,True,Social protection policy,Social protection policy,0.8357468363532206,True,0.023333107821928156,0.03443075867477674,0.0013713099236034587,0.04586380877836835,3.5422904720923962
91,84.20852012157172,True,Infrastructure investment,Infrastructure investment,0.8054097666290685,True,0.05910686668634184,0.13326995005774966,0.07333041812345742,0.00027366522098935114,4.114404261220698
92,95.22693685230786,True,Social protection policy,Social protection policy,0.8679827901241831,True,0.038184693543309334,0.06499537784737042,0.055252155344034826,0.01339889421017744,2.6772933215974826
93,90.645535350799,True,Social protection policy,Social protection policy,0.801943302603165,True,0.03451691811933427,0.08438250274130166,0.028093653525286366,0.00833305715108193,4.268984563082557
94,76.3950252361831,True,Social protection policy,Social protection policy,0.8313145088476362,True,0.02111051955262988,0.03367744251035132,0.029714536617987397,0.010494839305865866,3.396357920371253
95,90.78020260955984,True,Infrastructure investment,Infrastructure investment,0.8086637949605241,True,0.004988031412990261,0.015468679984039446,0.0,0.001989429961426467,3.9580596832364763
96,98.08956040472694,True,Infrastructure investment,Infrastructure investment,0.8296708582002523,True,0.05306598196040659,0.03115526519105838,0.14502069477670454,0.009554976893660166,3.351639052803562
97,88.29622581250561,True,Infrastructure investment,Infrastructure investment,0.797697811038616,True,0.046706035798015834,0.07544399100544985,0.08410820321721285,0.00391893107039272,4.120730943507666
98,93.60766806151119,True,Social protection policy,Infrastructure investment,0.8368198982521287,True,0.014291537240397103,0.02446757713273995,0.01705053340707252,0.008502269801577395,3.7253271225604974
99,81.08601182001226,True,Social protection policy,Social protection policy,0.7671815669415152,True,0.03481668481347811,0.08063670879158469,0.03279416910877836,0.008427518946810333,4.165909446134598
100,65.85143453738976,True,Social protection policy,Social protection policy,0.8001386672584423,True,0.0350055018214236,0.07578942970328456,0.033719268932398794,0.013010557739299232,3.13367210148831
