Sensitivity block,Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
Interaction matrix,13,98.840905506095,True,Social protection policy,Infrastructure investment,0.8169843838734445,True,0.0432653105495116,0.10166832019762617,0.03998859246259934,0.009771674263065064,3.8296132973994412
Interaction matrix,14,96.18718381581249,True,Social protection policy,Infrastructure investment,0.8158956072570214,True,0.05009613721664846,0.10130462446964594,0.06257847281368689,0.011453382974936782,3.754211829212027
Interaction matrix,15,96.09366471262207,True,Social protection policy,Infrastructure investment,0.8134352926185128,True,0.04991378660065916,0.10135783381470143,0.0617289170993669,0.011611502188238768,3.7471437482238596
Interaction matrix,16,93.25090286354069,True,Social protection policy,Infrastructure investment,0.8229711000973913,True,0.04582463293226037,0.10394063317736624,0.03875492713321893,0.01769065495232615,3.4641537883331543
Interaction matrix,17,98.17806666118327,True,Social protection policy,Infrastructure investment,0.8221920643226703,True,0.04988422660783119,0.09917788414686479,0.06334545619832754,0.012071452782216816,3.7263965247482282
Interaction matrix,18,93.67260430729863,True,Social protection policy,Infrastructure investment,0.8162667557684293,True,0.05003161082170492,0.10387594841545866,0.05719673244903556,0.014037957011472965,3.6368168888413313
Interaction matrix,19,93.80396370743166,True,Social protection policy,Infrastructure investment,0.8225638009773524,True,0.04784411347087684,0.10296861052464357,0.04752239426763383,0.016963392355791543,3.499363149034528
Interaction matrix,20,96.33004706116233,True,Social protection policy,Infrastructure investment,0.8104473440833019,True,0.04742217113261706,0.10243599327405739,0.053534869177179756,0.010006736512922582,3.819106393946349
Interaction matrix,21,95.078319864522,True,Social protection policy,Infrastructure investment,0.8168711947837588,True,0.04499676120552843,0.10337612531414353,0.0405120861335051,0.013600452771700876,3.6569275488398287
Interaction matrix,22,98.83285128395447,True,Social protection policy,Infrastructure investment,0.8131287498491895,True,0.04811593503909143,0.0996924990684297,0.060539289704431565,0.008173983863958734,3.9012173887909207
Interaction matrix,23,99.06764942388709,True,Social protection policy,Infrastructure investment,0.8175028691214872,True,0.042941419843244386,0.10109567457929614,0.03759924524765046,0.011600049624408734,3.747670717070012
Interaction matrix,24,98.92949242951603,True,Social protection policy,Infrastructure investment,0.8253107530522757,True,0.0491814292489084,0.09970188143779712,0.05958558775324729,0.012847533180134978,3.691252514651954
Interaction matrix,25,94.36794977183698,True,Social protection policy,Infrastructure investment,0.8118509321631943,True,0.04952357273451453,0.10322105011155347,0.05775176006748961,0.012359694391757756,3.713373367514666
Interaction matrix,26,94.63950770998851,True,Social protection policy,Infrastructure investment,0.8216436606612433,True,0.04950759668521805,0.1025274606242611,0.054938277096685195,0.015810850677316884,3.554247249859352
Interaction matrix,27,99.75150272389645,True,Social protection policy,Infrastructure investment,0.8125022846197796,True,0.039034919997166226,0.10088976145938433,0.029201577340604357,0.006530881190093096,3.9757511899609908
Interaction matrix,28,99.68290281369079,True,Social protection policy,Infrastructure investment,0.8120396341634871,True,0.046277657036526386,0.10121330541242801,0.053106019406059635,0.007652474809354701,3.9247187560493546
Interaction matrix,29,98.09788103943356,True,Social protection policy,Infrastructure investment,0.8196533799202314,True,0.045838215524313046,0.10173400355272677,0.04655783728060847,0.012141913501760415,3.7232188666943147
Interaction matrix,30,94.63194334190675,True,Social protection policy,Infrastructure investment,0.8070697001901905,True,0.04584489516988211,0.10401109090296579,0.04523948367579833,0.011206558515823278,3.765287292500329
Interaction matrix,31,96.3463354236911,True,Social protection policy,Infrastructure investment,0.8048231902776182,True,0.042776371982754864,0.10397832448486033,0.03717339994837193,0.008565577506409766,3.883626161664546
Interaction matrix,32,93.10808552172878,True,Social protection policy,Infrastructure investment,0.8237685628825447,True,0.04629068629945161,0.10352459620990029,0.041152335478813584,0.01734047035936677,3.4811672674655867
Interaction matrix,33,94.14008506636262,True,Social protection policy,Infrastructure investment,0.8152611922843059,True,0.04475603879162041,0.10428077322680962,0.03843316750841763,0.013932195035444198,3.6416841521165324
Interaction matrix,34,97.9644546837548,True,Social protection policy,Infrastructure investment,0.8226146458443881,True,0.045605212094561656,0.10145880958020181,0.04519323396024233,0.01296619879052166,3.6858504788956656
Interaction matrix,35,93.19265344981417,True,Social protection policy,Infrastructure investment,0.8187349371221955,True,0.047583159906179055,0.10412299071752584,0.0467218897583177,0.01569617919578313,3.5596579530460706
Interaction matrix,36,98.4887065928647,True,Social protection policy,Infrastructure investment,0.8098566094797973,True,0.04918924056875996,0.1002304597664383,0.06435579180075279,0.007576090423468768,3.9281681549808427
Interaction matrix,37,96.33605934149546,True,Social protection policy,Infrastructure investment,0.810576489109858,True,0.044751609120729396,0.10282484820257776,0.04359182297065067,0.010213960749324458,3.8098169441066148
Interaction matrix,38,96.96236380151976,True,Social protection policy,Infrastructure investment,0.8195378444546833,True,0.049961553301576214,0.10091764933815839,0.06261770966198488,0.011330077555373491,3.7597872317223686
Interaction matrix,39,99.66341929368588,True,Social protection policy,Infrastructure investment,0.8125514897383403,True,0.04927686857097039,0.09839691563114716,0.0662819645858651,0.007790159781384087,3.918527365832872
Interaction matrix,40,92.13347031106734,True,Social protection policy,Infrastructure investment,0.8180247764219165,True,0.04540708572401345,0.1051925327302684,0.03703668900780088,0.016695578295977773,3.5122121918580422
Interaction matrix,41,97.08805497172771,True,Social protection policy,Infrastructure investment,0.8140137192666977,True,0.04634341630036826,0.10227488392251671,0.05046400509127236,0.00946306803749987,3.8433332664206734
