Sensitivity block,Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
Policy-impact matrix,16,100.76051969806399,True,Social protection policy,Infrastructure investment,0.8260180226275655,True,0.0710815486664654,0.17306026558153798,0.06779614548451773,0.007929009266573223,3.714986212543898
Policy-impact matrix,17,96.38774868092122,True,Social protection policy,Social protection policy,0.8228993917043702,True,0.04185177689717108,0.07112330176776227,0.055543283192583615,0.019814634179752898,3.594250665394747
Policy-impact matrix,18,97.5215941361104,True,Social protection policy,Infrastructure investment,0.8187311963643458,True,0.056928855225249056,0.1293924230487269,0.060212502581320826,0.009646067658324,3.705024722719688
Policy-impact matrix,19,94.14439138877756,True,Social protection policy,Infrastructure investment,0.8114324423361512,True,0.04144746000749456,0.08616607460958225,0.048409652174995155,0.01049038324165355,3.744310741359351
Policy-impact matrix,20,95.43740611427398,True,Social protection policy,Social protection policy,0.8189590781928245,True,0.03795239525767071,0.06608875037528106,0.05299521308337529,0.013749419943191149,3.741618101214981
Policy-impact matrix,21,97.0388344111748,True,Social protection policy,Infrastructure investment,0.8194471795245424,True,0.049499838370320015,0.10526612037771632,0.05426831412318789,0.013714999795215857,3.6855690783368207
Policy-impact matrix,22,97.25012758814927,True,Social protection policy,Infrastructure investment,0.8155223455014277,True,0.05645343191466606,0.12983718242068554,0.05768409456887358,0.010065734711772079,3.7553887974861553
Policy-impact matrix,23,92.04500196066616,True,Social protection policy,Infrastructure investment,0.8040024989452932,True,0.03209544234095636,0.05637110637031795,0.04507319906645546,0.010889742756573867,3.8191122465287277
Policy-impact matrix,24,96.74500959318848,True,Social protection policy,Infrastructure investment,0.8125010866402393,True,0.0550230666382863,0.12272722784425172,0.05847927699127231,0.011374228398478,3.8037331912326326
Policy-impact matrix,25,96.1964105932955,True,Social protection policy,Infrastructure investment,0.8191449458660376,True,0.04448375824059365,0.0954124719389019,0.04778048515180788,0.012500196751367973,3.6920127033247123
Policy-impact matrix,26,99.71474801555064,True,Social protection policy,Infrastructure investment,0.8234846583655426,True,0.06192908074236869,0.13667728690018988,0.06339389439740184,0.01668060130069869,3.673592492780152
Policy-impact matrix,27,94.50733546865895,True,Social protection policy,Infrastructure investment,0.8123539030280298,True,0.04125850499861131,0.09473982958081395,0.03584902844895144,0.013815909465374199,3.72344137831403
Policy-impact matrix,28,92.59978606891846,True,Social protection policy,Infrastructure investment,0.806055003529098,True,0.03774085890313615,0.08084341575283704,0.040572336686183985,0.010677253721955507,3.758020935433796
Policy-impact matrix,29,100.67940758696298,True,Social protection policy,Infrastructure investment,0.8243517318047225,True,0.0692896286066262,0.16698471453137737,0.06370322932347139,0.011825756268342938,3.726660666058891
Policy-impact matrix,30,96.19647196902233,True,Social protection policy,Infrastructure investment,0.8154822126231794,True,0.05013854411600537,0.11270942913878002,0.05004156187293196,0.012733913394306816,3.6974441712051687
Policy-impact matrix,31,96.88937234341346,True,Social protection policy,Infrastructure investment,0.8163334008152865,True,0.05404539836375336,0.117706124332432,0.05369850781477681,0.01775426212592797,3.660250947926998
Policy-impact matrix,32,95.31012840680592,True,Social protection policy,Infrastructure investment,0.8153542916064094,True,0.04599123165244667,0.09768125024582519,0.04356237014412545,0.019725690393612688,3.6277992028720547
Policy-impact matrix,33,95.63577347895311,True,Social protection policy,Infrastructure investment,0.8146850890190585,True,0.0472573696244447,0.108745084243558,0.04620681907661783,0.01044889036538059,3.7333851718046542
Policy-impact matrix,34,94.66804372464053,True,Social protection policy,Infrastructure investment,0.8154117096481613,True,0.039760751065274866,0.08123201132339053,0.04659062594997465,0.011339991455096857,3.7511107080476265
