Country,ISO3,Region,First year,Last year,Distinct years observed,Outcomes represented (of 7),Total outcome-year observations,Coverage rate across country-year-outcome cells (%),Cost of healthy diet observations,Cannot afford healthy diet observations,Prevalence of undernourishment observations,"Minimum dietary diversity, women observations",Food system emissions observations,Emissions intensity observations,Social protection coverage observations
Eswatini,SWZ,Sub-Saharan Africa,2000,2024,25,6,88,50.3,8,8,23,0,23,23,3
Ethiopia,ETH,Sub-Saharan Africa,2000,2024,25,7,90,51.4,8,8,23,1,23,23,4
Fiji,FJI,Oceania,2000,2024,25,6,87,49.7,8,8,23,0,23,23,2
Finland,FIN,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
France,FRA,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
French Guiana,GUF,Latin America & Caribbean,2000,2022,23,2,30,18.6,0,0,0,0,23,7,0
French Polynesia,PYF,Oceania,2002,2024,23,1,23,14.3,0,0,23,0,0,0,0
Gabon,GAB,Sub-Saharan Africa,2000,2024,25,7,88,50.3,8,8,23,1,23,23,2
Gambia,GMB,Sub-Saharan Africa,2000,2024,25,6,87,49.7,8,8,23,0,23,23,2
Georgia,GEO,Northern Africa & Western Asia,2000,2024,25,4,80,45.7,0,0,23,0,23,23,11
Germany,DEU,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Ghana,GHA,Sub-Saharan Africa,2000,2024,25,7,89,50.9,8,8,23,1,23,23,3
Greece,GRC,Northern America & Europe,2000,2024,25,6,86,49.1,8,8,23,1,23,23,0
Grenada,GRD,Latin America & Caribbean,2000,2024,25,4,62,35.4,8,8,0,0,23,23,0
Guatemala,GTM,Latin America & Caribbean,2000,2024,25,7,89,50.9,8,8,23,1,23,23,3
Guinea,GIN,Sub-Saharan Africa,2000,2024,25,7,87,49.7,8,8,23,1,23,23,1
Guinea-Bissau,GNB,Sub-Saharan Africa,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Guyana,GUY,Latin America & Caribbean,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Haiti,HTI,Latin America & Caribbean,2000,2024,25,6,86,49.1,8,8,23,0,23,23,1
Honduras,HND,Latin America & Caribbean,2000,2024,25,7,96,54.9,8,8,23,1,23,23,10
Hungary,HUN,Northern America & Europe,2000,2024,25,6,86,49.1,8,8,23,0,23,23,1
Iceland,ISL,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
India,IND,Southern Asia,2000,2024,25,7,89,50.9,8,8,23,1,23,23,3
Indonesia,IDN,South-eastern Asia,2000,2024,25,7,97,55.4,8,8,23,1,23,23,11
